Time (s)	Load (gf)	Displacement (mm)
14,859	2	1,475
14,872	2	1,476
14,892	2	1,478
14,905	2	1,48
14,917	2	1,483
14,95	2	1,485
14,975	2	1,487
14,993	2	1,49
15,018	2	1,491
15,033	2	1,492
15,047	2	1,494
15,06	2	1,495
15,073	2	1,496
15,085	2	1,497
15,097	2	1,498
15,114	2	1,5
15,126	2	1,502
15,138	2	1,502
15,15	2	1,504
15,172	2	1,507
15,194	2	1,509
15,212	2	1,511
15,23	2	1,513
15,249	2	1,515
15,267	2	1,517
15,292	2	1,518
15,307	2	1,52
15,319	2	1,521
15,331	2	1,522
15,343	2	1,523
15,355	2	1,524
15,367	2	1,526
15,379	2	1,527
15,391	2	1,528
15,406	2	1,53
15,426	2	1,532
15,444	2	1,534
15,466	2	1,536
15,487	2	1,538
15,504	2	1,54
15,517	2	1,551
15,63	2	1,553
15,651	2	1,555
15,669	2	1,556
15,684	2	1,558
15,704	2	1,56
15,727	2	1,562
15,749	2	1,565
15,771	2	1,567
15,792	2	1,569
15,81	2	1,571
15,83	2	1,572
15,847	2	1,574
15,868	2	1,576
15,881	2	1,578
15,905	2	1,58
15,928	2	1,583
15,952	2	1,585
15,976	2	1,588
16	2	1,589
16,012	2	1,591
16,034	2	1,594
16,06	2	1,596
16,084	2	1,598
16,1	2	1,6
16,128	2	1,602
16,142	2	1,604
16,16	2	1,606
16,184	2	1,608
16,208	2	1,61
16,231	2	1,612
16,244	2	1,613
16,258	2	1,616
16,282	2	1,618
16,307	2	1,62
16,331	2	1,624
16,358	2	1,626
16,379	2	1,628
16,399	2	1,629
16,415	2	1,63
16,428	2	1,632
16,454	2	1,635
16,477	2	1,638
16,501	2	1,64
16,526	2	1,642
16,547	2	1,644
16,568	2	1,646
16,587	2	1,648
16,608	2	1,651
16,636	2	1,654
16,657	2	1,656
16,681	2	1,657
16,695	2	1,659
16,713	2	1,661
16,739	2	1,664
16,762	2	1,666
16,782	2	1,668
16,802	2	1,67
16,822	2	1,672
16,843	2	1,674
16,864	2	1,676
16,886	2	1,678
16,899	2	1,679
16,91	2	1,682
16,937	2	1,685
16,969	2	1,687
16,99	2	1,689
17,009	2	1,69
17,03	2	1,692
17,047	2	1,694
17,06	2	1,696
17,08	2	1,698
17,098	2	1,7
17,124	2	1,703
17,151	2	1,705
17,173	2	1,707
17,192	2	1,709
17,213	2	1,711
17,234	2	1,713
17,254	2	1,715
17,276	2	1,717
17,295	2	1,719
17,316	2	1,721
17,336	2	1,723
17,355	2	1,725
17,37	2	1,727
17,394	2	1,729
17,415	2	1,731
17,438	2	1,733
17,455	2	1,735
17,479	2	1,738
17,506	2	1,74
17,521	2	1,741
17,533	2	1,742
17,545	2	1,743
17,557	2	1,744
17,569	2	1,746
17,581	2	1,747
17,593	2	1,748
17,605	2	1,749
17,618	2	1,753
17,654	2	1,756
17,684	2	1,758
17,699	2	1,76
17,721	2	1,761
17,733	2	1,763
17,75	2	1,764
17,763	2	1,765
17,775	2	1,766
17,787	2	1,768
17,808	2	1,77
17,825	2	1,772
17,838	2	1,773
17,857	2	1,774
17,869	2	1,776
17,881	2	1,777
17,899	2	1,779
17,911	2	1,78
17,923	2	1,781
17,935	2	1,784
17,96	2	1,785
17,976	2	1,786
17,988	2	1,788
18,013	2	1,79
18,026	2	1,792
18,046	2	1,794
18,058	2	1,795
18,07	2	1,796
18,082	2	1,797
18,094	2	1,798
18,106	2	1,799
18,118	2	1,8
18,135	2	1,803
18,153	2	1,805
18,177	2	1,806
18,189	2	1,808
18,208	2	1,811
18,232	2	1,812
18,245	2	1,813
18,258	2	1,816
18,283	2	1,817
18,295	2	1,818
18,307	2	1,82
18,328	2	1,822
18,345	2	1,824
18,358	2	1,825
18,37	2	1,826
18,382	2	1,828
18,4	2	1,829
18,412	2	1,83
18,429	2	1,832
18,449	2	1,835
18,474	2	1,837
18,493	2	1,838
18,511	2	1,84
18,531	2	1,842
18,551	2	1,845
18,572	2	1,846
18,587	2	1,848
18,607	2	1,85
18,621	2	1,851
18,634	4	1,855
18,676	4	1,856
18,688	2	1,857
18,7	2	1,859
18,712	2	1,86
18,725	2	1,861
18,737	2	1,862
18,749	2	1,864
18,761	2	1,865
18,773	2	1,867
18,793	2	1,868
18,805	2	1,869
18,817	2	1,871
18,836	2	1,872
18,849	2	1,875
18,873	2	1,878
18,904	2	1,88
18,926	2	1,882
18,95	2	1,885
18,98	2	1,887
18,997	2	1,888
19,009	2	1,89
19,021	2	1,891
19,034	2	1,892
19,051	2	1,894
19,063	2	1,895
19,075	2	1,896
19,087	2	1,897
19,099	2	1,9
19,123	2	1,901
19,137	2	1,904
19,165	2	1,906
19,185	2	1,908
19,207	2	1,911
19,234	2	1,912
19,247	2	1,913
19,265	2	1,916
19,292	2	1,918
19,31	2	1,921
19,335	2	1,924
19,362	2	1,926
19,385	2	1,928
19,4	2	1,929
19,419	2	1,931
19,441	2	1,934
19,464	2	1,936
19,488	2	1,938
19,504	2	1,939
19,517	2	1,941
19,54	2	1,942
