frame_stiffness_no_sample1	frame_stiffness_no_sample1	frame_stiffness_no_sample1	
Force	Distance	Time	
g	mm	sec	

0.330487	0.03	3.1	
0.193661	0.031	3.105	
-0.0378903	0.031	3.11	
0.0905157	0.031	3.115	
0.332592	0.031	3.12	
0.239972	0.031	3.125	
-0.0294702	0.031	3.13	
0.0273652	0.031	3.135	
0.197871	0.031	3.14	
0.0252602	0.031	3.145	
-0.242077	0.031	3.15	
-0.162086	0.031	3.155	
0.0715705	0.031	3.16	
0.0442053	0.031	3.165	
-0.0968307	0.031	3.17	
0.0778856	0.031	3.175	
0.397848	0.031	3.18	
0.345223	0.031	3.185	
0.0694655	0.031	3.19	
0.0252602	0.031	3.195	
0.174716	0.031	3.2	
0.0610454	0.032	3.205	
-0.176821	0.032	3.21	
-0.101041	0.032	3.215	
0.134721	0.032	3.22	
0.117881	0.032	3.225	
-0.0210502	0.032	3.23	
0.0694655	0.032	3.235	
0.317857	0.032	3.24	
0.246287	0.032	3.245	
-0.0189451	0.032	3.25	
-0.0378903	0.032	3.255	
0.170506	0.032	3.26	
0.138931	0.032	3.265	
-0.0757805	0.032	3.27	
-0.0399953	0.032	3.275	
0.164191	0.032	3.28	
0.147351	0.032	3.285	
-0.0315752	0.032	3.29	
-0.00842006	0.032	3.295	
0.193661	0.032	3.3	
0.231552	0.033	3.305	
0.0842006	0.033	3.31	
0.126301	0.033	3.315	
0.261022	0.033	3.32	
0.115776	0.033	3.325	
-0.162086	0.033	3.33	
-0.204186	0.033	3.335	
-0.0231552	0.033	3.34	
0.0252602	0.033	3.345	
-0.0231552	0.033	3.35	
0.109461	0.033	3.355	
0.355748	0.033	3.36	
0.355748	0.033	3.365	
0.136826	0.033	3.37	
0.0421003	0.033	3.375	
0.138931	0.033	3.38	
0.0673605	0.033	3.385	
-0.145246	0.033	3.39	
-0.187346	0.033	3.395	
0.0526254	0.033	3.4	
0.178926	0.034	3.405	
0.145246	0.034	3.41	
0.191556	0.034	3.415	
0.307332	0.034	3.42	
0.210502	0.034	3.425	
-0.0378903	0.034	3.43	
-0.113671	0.034	3.435	
-0.0610454	0.034	3.44	
-0.0736755	0.034	3.445	
-0.0905157	0.034	3.45	
0.0547304	0.034	3.455	
0.288387	0.034	3.46	
0.273652	0.034	3.465	
0.0820956	0.034	3.47	
-0.00842006	0.034	3.475	
0.0231552	0.034	3.48	
-0.0210502	0.034	3.485	
-0.145246	0.034	3.49	
-0.105251	0.034	3.495	
0.0757805	0.034	3.5	
0.176821	0.035	3.505	
0.147351	0.035	3.51	
0.191556	0.035	3.515	
0.250497	0.035	3.52	
0.119986	0.035	3.525	
-0.0273652	0.035	3.53	
-0.0126301	0.035	3.535	
0.103146	0.035	3.54	
0.0863056	0.035	3.545	
0.0210502	0.035	3.55	
0.0526254	0.035	3.555	
0.157876	0.035	3.56	
0.138931	0.035	3.565	
0.0273652	0.035	3.57	
-0.0210502	0.035	3.575	
-0.0147351	0.035	3.58	
-0.0210502	0.035	3.585	
-0.0652555	0.035	3.59	
-0.0273652	0.035	3.595	
0.0315752	0.035	3.6	
0.0463103	0.036	3.605	
0.0926207	0.036	3.61	
0.191556	0.036	3.615	
0.221027	0.036	3.62	
0.0968307	0.036	3.625	
0.0210502	0.036	3.63	
0.0820956	0.036	3.635	
0.159981	0.036	3.64	
0.0947257	0.036	3.645	
0.0463103	0.036	3.65	
0.0863056	0.036	3.655	
0.0926207	0.036	3.66	
0.0210502	0.036	3.665	
-0.0105251	0.036	3.67	
0.0568354	0.036	3.675	
0.124196	0.036	3.68	
0.0715705	0.036	3.685	
0.00842006	0.036	3.69	
0.0189451	0.036	3.695	
-0.0126301	0.036	3.7	
-0.0968307	0.037	3.705	
-0.0547304	0.037	3.71	
0.122091	0.037	3.715	
0.208397	0.037	3.72	
0.143141	0.037	3.725	
0.166296	0.037	3.73	
0.273652	0.037	3.735	
0.242077	0.037	3.74	
0.0210502	0.037	3.745	
-0.0778856	0.037	3.75	
0.00842006	0.037	3.755	
0.0715705	0.037	3.76	
-0.0294702	0.037	3.765	
-0.0442053	0.037	3.77	
0.0884106	0.037	3.775	
0.166296	0.037	3.78	
0.0863056	0.037	3.785	
0.0526254	0.037	3.79	
0.141036	0.037	3.795	
0.101041	0.037	3.8	
-0.0505204	0.038	3.805	
-0.0652555	0.038	3.81	
0.155771	0.038	3.815	
0.233657	0.038	3.82	
0.0778856	0.038	3.825	
0.0168401	0.038	3.83	
0.181031	0.038	3.835	
0.231552	0.038	3.84	
-0.0231552	0.038	3.845	
-0.216817	0.038	3.85	
-0.136826	0.038	3.855	
-0.0463103	0.038	3.86	
-0.119986	0.038	3.865	
-0.0905157	0.038	3.87	
0.113671	0.038	3.875	
0.250497	0.038	3.88	
0.119986	0.038	3.885	
0.0526254	0.038	3.89	
0.178926	0.038	3.895	
0.183136	0.038	3.9	
0	0.039	3.905	
-0.0210502	0.039	3.91	
0.267337	0.039	3.915	
0.399953	0.039	3.92	
0.138931	0.039	3.925	
-0.0273652	0.039	3.93	
0.124196	0.039	3.935	
0.185241	0.039	3.94	
-0.0799906	0.039	3.945	
-0.275757	0.039	3.95	
-0.124196	0.039	3.955	
0.0189451	0.039	3.96	
-0.0884106	0.039	3.965	
-0.111566	0.039	3.97	
0.162086	0.039	3.975	
0.359958	0.039	3.98	
0.235762	0.039	3.985	
0.105251	0.039	3.99	
0.204186	0.039	3.995	
0.248392	0.039	4	
0.0336802	0.04	4.005	
-0.0715705	0.04	4.01	
0.181031	0.04	4.015	
0.357853	0.04	4.02	
0.113671	0.04	4.025	
-0.0526254	0.04	4.03	
0.109461	0.04	4.035	
0.176821	0.04	4.04	
-0.103146	0.04	4.045	
-0.292597	0.04	4.05	
-0.0757805	0.04	4.055	
0.115776	0.04	4.06	
-0.0231552	0.04	4.065	
-0.126301	0.04	4.07	
0.0947257	0.04	4.075	
0.279967	0.04	4.08	
0.134721	0.04	4.085	
-0.00210502	0.04	4.09	
0.170506	0.04	4.095	
0.345223	0.04	4.1	
0.172611	0.041	4.105	
-0.0189451	0.041	4.11	
0.149456	0.041	4.115	
0.242077	0.041	4.12	
-0.0505204	0.041	4.125	
-0.254707	0.041	4.13	
-0.0252602	0.041	4.135	
0.204186	0.041	4.14	
0.0778856	0.041	4.145	
-0.0736755	0.041	4.15	
0.113671	0.041	4.155	
0.271547	0.041	4.16	
0.0357853	0.041	4.165	
-0.197871	0.041	4.17	
-0.00210502	0.041	4.175	
0.239972	0.041	4.18	
0.113671	0.041	4.185	
-0.0273652	0.041	4.19	
0.159981	0.041	4.195	
0.364168	0.041	4.2	
0.157876	0.042	4.205	
-0.101041	0.042	4.21	
0.0505204	0.042	4.215	
0.239972	0.042	4.22	
0.0357853	0.042	4.225	
-0.191556	0.042	4.23	
0.0273652	0.042	4.235	
0.319962	0.042	4.24	
0.178926	0.042	4.245	
-0.0989357	0.042	4.25	
-0.00210502	0.042	4.255	
0.181031	0.042	4.26	
0.0168401	0.042	4.265	
-0.218922	0.042	4.27	
-0.0357853	0.042	4.275	
0.277862	0.042	4.28	
0.208397	0.042	4.285	
-0.0126301	0.042	4.29	
0.0736755	0.042	4.295	
0.290492	0.042	4.3	
0.162086	0.043	4.305	
-0.141036	0.043	4.31	
-0.0652555	0.043	4.315	
0.178926	0.043	4.32	
0.157876	0.043	4.325	
0.00421003	0.043	4.33	
0.164191	0.043	4.335	
0.416793	0.043	4.34	
0.258917	0.043	4.345	
-0.0799906	0.043	4.35	
-0.117881	0.043	4.355	
0.0315752	0.043	4.36	
-0.0989357	0.043	4.365	
-0.275757	0.043	4.37	
-0.0631505	0.043	4.375	
0.330487	0.043	4.38	
0.353643	0.043	4.385	
0.134721	0.043	4.39	
0.145246	0.043	4.395	
0.279967	0.043	4.4	
0.0757805	0.044	4.405	
-0.307332	0.044	4.41	
-0.254707	0.044	4.415	
0.0673605	0.044	4.42	
0.159981	0.044	4.425	
0.0294702	0.044	4.43	
0.166296	0.044	4.435	
0.444158	0.044	4.44	
0.389428	0.044	4.445	
0.0757805	0.044	4.45	
-0.0610454	0.044	4.455	
-0.0378903	0.044	4.46	
-0.155771	0.044	4.465	
-0.338907	0.044	4.47	
-0.164191	0.044	4.475	
0.244182	0.044	4.48	
0.353643	0.044	4.485	
0.208397	0.044	4.49	
0.197871	0.044	4.495	
0.315752	0.044	4.5	
0.151561	0.045	4.505	
-0.185241	0.045	4.51	
-0.223132	0.045	4.515	
0.0526254	0.045	4.52	
0.134721	0.045	4.525	
0.0589404	0.045	4.53	
0.115776	0.045	4.535	
0.307332	0.045	4.54	
0.271547	0.045	4.545	
0.0315752	0.045	4.55	
-0.0421003	0.045	4.555	
0.0505204	0.045	4.56	
-0.00210502	0.045	4.565	
-0.197871	0.045	4.57	
-0.128406	0.045	4.575	
0.143141	0.045	4.58	
0.221027	0.045	4.585	
0.0715705	0.045	4.59	
0.0399953	0.045	4.595	
0.199976	0.045	4.6	
0.235762	0.046	4.605	
0.0884106	0.046	4.61	
0.0378903	0.046	4.615	
0.155771	0.046	4.62	
0.157876	0.046	4.625	
0.0568354	0.046	4.63	
0.0357853	0.046	4.635	
0.0989357	0.046	4.64	
0.0357853	0.046	4.645	
