gelC_I_3mm11	gelC_I_3mm11	gelC_I_3mm11	
Force	Distance	Time	
g	mm	sec	

-0.0273484	0.033	3.395	
0.130431	0.033	3.4	
0.0252447	0.034	3.405	
-0.130431	0.034	3.41	
0.0168298	0.034	3.415	
0.189335	0.034	3.42	
0.0231409	0.034	3.425	
-0.174609	0.034	3.43	
-0.0736303	0.034	3.435	
0.0841489	0.034	3.44	
-0.0399707	0.034	3.445	
-0.212476	0.034	3.45	
-0.0694228	0.034	3.455	
0.134638	0.034	3.46	
0.0504893	0.034	3.465	
-0.115705	0.034	3.47	
-0.0336596	0.034	3.475	
0.126223	0.034	3.48	
0.0273484	0.034	3.485	
-0.176713	0.034	3.49	
-0.0694228	0.034	3.495	
0.117808	0.034	3.5	
0.0504893	0.035	3.505	
-0.075734	0.035	3.51	
0.0673191	0.035	3.515	
0.216683	0.035	3.52	
0.0483856	0.035	3.525	
-0.170401	0.035	3.53	
-0.075734	0.035	3.535	
0.0694228	0.035	3.54	
-0.037867	0.035	3.545	
-0.183024	0.035	3.55	
-0.037867	0.035	3.555	
0.168298	0.035	3.56	
0.0525931	0.035	3.565	
-0.103082	0.035	3.57	
-0.0147261	0.035	3.575	
0.132534	0.035	3.58	
0.0252447	0.035	3.585	
-0.126223	0.035	3.59	
-0.0273484	0.035	3.595	
0.140949	0.035	3.6	
0.0399707	0.036	3.605	
-0.0778377	0.036	3.61	
0.0673191	0.036	3.615	
0.18092	0.036	3.62	
0.00210372	0.036	3.625	
-0.170401	0.036	3.63	
-0.0399707	0.036	3.635	
0.126223	0.036	3.64	
-0.00420744	0.036	3.645	
-0.134638	0.036	3.65	
-0.0168298	0.036	3.655	
0.140949	0.036	3.66	
0.0126223	0.036	3.665	
-0.134638	0.036	3.67	
-0.00631117	0.036	3.675	
0.138846	0.036	3.68	
0.0210372	0.036	3.685	
-0.128327	0.036	3.69	
-0.00420744	0.036	3.695	
0.149364	0.036	3.7	
0.0210372	0.037	3.705	
-0.136742	0.037	3.71	
0.00210372	0.037	3.715	
0.149364	0.037	3.72	
-0.0315558	0.037	3.725	
-0.210372	0.037	3.73	
-0.0652154	0.037	3.735	
0.119912	0.037	3.74	
0.0294521	0.037	3.745	
-0.128327	0.037	3.75	
0.0252447	0.037	3.755	
0.153572	0.037	3.76	
0.00210372	0.037	3.765	
-0.191439	0.037	3.77	
-0.0862526	0.037	3.775	
0.10729	0.037	3.78	
0.0273484	0.037	3.785	
-0.109394	0.037	3.79	
0.0126223	0.037	3.795	
0.189335	0.037	3.8	
0.0715266	0.038	3.805	
-0.140949	0.038	3.81	
-0.0610079	0.038	3.815	
0.0820452	0.038	3.82	
-0.037867	0.038	3.825	
-0.159883	0.038	3.83	
-0.0147261	0.038	3.835	
0.151468	0.038	3.84	
0.0336596	0.038	3.845	
-0.126223	0.038	3.85	
-0.037867	0.038	3.855	
0.126223	0.038	3.86	
0.0294521	0.038	3.865	
-0.122016	0.038	3.87	
-0.0420744	0.038	3.875	
0.115705	0.038	3.88	
0.00420744	0.038	3.885	
-0.115705	0.038	3.89	
-0.0168298	0.038	3.895	
0.115705	0.038	3.9	
0.0357633	0.039	3.905	
-0.12412	0.039	3.91	
-0.0126223	0.039	3.915	
0.128327	0.039	3.92	
-0.0210372	0.039	3.925	
-0.176713	0.039	3.93	
-0.0399707	0.039	3.935	
0.117808	0.039	3.94	
0.0420744	0.039	3.945	
-0.0967712	0.039	3.95	
0.0420744	0.039	3.955	
0.178816	0.039	3.96	
0.0546968	0.039	3.965	
-0.138846	0.039	3.97	
-0.0462819	0.039	3.975	
0.0778377	0.039	3.98	
0.0105186	0.039	3.985	
-0.0883563	0.039	3.99	
0.0315558	0.039	3.995	
